,Antimicrobial Agent,S,SDD,I,R,Bacteria
152,LVX: Levofloxacin,>=17,,>=14  <17,<=13,Enterococcus spp.
153,GAT: Gatifloxacin,>=18,,>=15  <18,<=14,Enterococcus spp.
154,NOR: Norfloxacin,>=17,,>=13  <=16,<=12,Enterococcus spp.
155,NIT: Nitrofurantoin,>=17,,>=15  <=16,<=14,Enterococcus spp.
156,RIF: Rifampin,>=20,,>=17  <=19,<=16,Enterococcus spp.
157,FOS: Fosfomycin,>=16,,>=13  <=15,<=12,Enterococcus spp.
158,CHL: Chloramphenicol,>=18,,>=13  <=17,<=12,Enterococcus spp.
159,Q/D: Quinupristin-dalfopristin,>=19,,>=16  <=18,<=15,Enterococcus spp.
160,LZD: Linezolid,>=23,,>=21  <=22,<=20,Enterococcus spp.
161,TZD: Tedizolid,,,,,Enterococcus spp.
162,AMP: Ampicillin,>=22,,>=19 <21,<=18,Haemophilus influenzae and Haemophilus parainfluenzae
163,AMS: Ampicillin-sulbactam,>=20,,,<=19,Haemophilus influenzae and Haemophilus parainfluenzae
164,AMC: Amoxicillin-clavulanate,>=20,,,<=19,Haemophilus influenzae and Haemophilus parainfluenzae
165,TZP: Piperacillin-tazobactam,>=21,,,,Haemophilus influenzae and Haemophilus parainfluenzae
166,CTX: Cefotaxime,>=26,,,,Haemophilus influenzae and Haemophilus parainfluenzae
167,CAZ: Ceftazidime,>=26,,,,Haemophilus influenzae and Haemophilus parainfluenzae
168,CRO: Ceftriaxone,>=26,,,,Haemophilus influenzae and Haemophilus parainfluenzae
169,CXM: Cefuroxime,>=20,,>=17 <20,<=16,Haemophilus influenzae and Haemophilus parainfluenzae
170,CPT: Ceftaroline,>=30,,,,Haemophilus influenzae and Haemophilus parainfluenzae
171,CID: Cefonicid,>=20,,>=17 <20,<=16,Haemophilus influenzae and Haemophilus parainfluenzae
172,MAN: Cefamandole,,,,,Haemophilus influenzae and Haemophilus parainfluenzae
173,FEP: Cefepime,>=26,,,,Haemophilus influenzae and Haemophilus parainfluenzae
174,CZX: Ceftizoxime,>=26,,,,Haemophilus influenzae and Haemophilus parainfluenzae
175,CEC: Cefaclor,>=20,,>=17 <19,<=16,Haemophilus influenzae and Haemophilus parainfluenzae
176,: Cefprozil,>=18,,>=15 <17,,Haemophilus influenzae and Haemophilus parainfluenzae
177,: Cefdinir,>=20,,,,Haemophilus influenzae and Haemophilus parainfluenzae
178,CFM: Cefixime,>=21,,,,Haemophilus influenzae and Haemophilus parainfluenzae
179,CPD: Cefpodoxime,>=21,,,,Haemophilus influenzae and Haemophilus parainfluenzae
180,CXM: Cefuroxime,>=20,,>=17 <19,<=16,Haemophilus influenzae and Haemophilus parainfluenzae
181,LOR: Loracarbef,>=19,,>=16 <18,<=15,Haemophilus influenzae and Haemophilus parainfluenzae
182,CTB: Ceftibuten,>=28,,,,Haemophilus influenzae and Haemophilus parainfluenzae
183,: Cefetamet,>=18,,>=15 <17,<=14,Haemophilus influenzae and Haemophilus parainfluenzae
184,ATM: Aztreonam,>=26,,,,Haemophilus influenzae and Haemophilus parainfluenzae
185,MEM: Meropenem,>=20,,,,Haemophilus influenzae and Haemophilus parainfluenzae
186,ETP: Ertapenem,>=19,,,,Haemophilus influenzae and Haemophilus parainfluenzae
187,IPM: Imipenem,>=16,,,,Haemophilus influenzae and Haemophilus parainfluenzae
188,DOR: Doripenem,>=16,,,,Haemophilus influenzae and Haemophilus parainfluenzae
189,AZM: Azithromycin,>=12,,,,Haemophilus influenzae and Haemophilus parainfluenzae
190,CLR: Clarithromycin,>=13,,>=11 <12,<=10,Haemophilus influenzae and Haemophilus parainfluenzae
191,TCY: Tetracycline,>=29,,>=26 <28,<=25,Haemophilus influenzae and Haemophilus parainfluenzae
192,CIP: Ciprofloxacin,>=21,,,,Haemophilus influenzae and Haemophilus parainfluenzae
193,LVX: Levofloxacin,>=17,,,,Haemophilus influenzae and Haemophilus parainfluenzae
194,MFX: Moxifloxacin,>=18,,,,Haemophilus influenzae and Haemophilus parainfluenzae
195,GEM: Gemifloxacin,>=18,,,,Haemophilus influenzae and Haemophilus parainfluenzae
196,GAT: Gatifloxacin,>=18,,,,Haemophilus influenzae and Haemophilus parainfluenzae
197,GPFX: Grepafloxacin,>=24,,,,Haemophilus influenzae and Haemophilus parainfluenzae
198,LOM: Lomefloxacin,>=22,,,,Haemophilus influenzae and Haemophilus parainfluenzae
199,OFX: Ofloxacin,>=16,,,,Haemophilus influenzae and Haemophilus parainfluenzae
200,SPX: Sparfloxacin,,,,,Haemophilus influenzae and Haemophilus parainfluenzae
201,TVA: Trovafloxacin,>=22,,,,Haemophilus influenzae and Haemophilus parainfluenzae
202,FLX: Fleroxacin,>=19,,,,Haemophilus influenzae and Haemophilus parainfluenzae
203,SXT: Trimethoprim-Sulfamethoxazole,>=16,,>=11 <15,<=10,Haemophilus influenzae and Haemophilus parainfluenzae
204,CHL: Chloramphenicol,>=29,,>=26  <28,<=25,Haemophilus influenzae and Haemophilus parainfluenzae
205,RIF: Rifampin,>=20,,>=17 <19,<=16,Haemophilus influenzae and Haemophilus parainfluenzae
206,CRO: Ceftriaxone,>=35,,,,Neisseria gonorrhoeae
207,FOX: Cefoxitin,>=28,,>=24  <=27,<=23,Neisseria gonorrhoeae
208,FEP: Cefepime,>=31,,,,Neisseria gonorrhoeae
209,CTX: Cefotaxime,>=31,,,,Neisseria gonorrhoeae
210,CTT: Cefotetan,>=26,,>=20  <=25,<=19,Neisseria gonorrhoeae
211,CZX: Ceftizoxime,>=38,,,,Neisseria gonorrhoeae
212,CFM: Cefixime,>=31,,,,Neisseria gonorrhoeae
213,CPD: Cefpodoxime,>=29,,,,Neisseria gonorrhoeae
214,AZM: Azithromycin,>=30,,,,Neisseria gonorrhoeae
215,TCY: Tetracycline,>=38,,>=31  <=37,<=30,Neisseria gonorrhoeae
216,CIP: Ciprofloxacin,>=41,,>=28  <=40,<=27,Neisseria gonorrhoeae
217,SPT: Spectinomycin,>=18,,>=15  <=17,<=14,Neisseria gonorrhoeae
218,PCN: Penicillin,>=20,,,,Streptococcus pneumoniae
219,AMC: Amoxicillin-clavulanate,,,,,Streptococcus pneumoniae
220,FEP: Cefepime,,,,,Streptococcus pneumoniae
221,CTX: Cefotaxime,,,,,Streptococcus pneumoniae
222,CRO: Ceftriaxone,,,,,Streptococcus pneumoniae
223,CPT: Ceftaroline,>=26,,,,Streptococcus pneumoniae
224,CXM: Cefuroxime,,,,,Streptococcus pneumoniae
225,CEC: Cefaclor,,,,,Streptococcus pneumoniae
226,: Cefdinir,,,,,Streptococcus pneumoniae
227,CPD: Cefpodoxime,,,,,Streptococcus pneumoniae
228,: Cefprozil,,,,,Streptococcus pneumoniae
229,LOR: Loracarbef,,,,,Streptococcus pneumoniae
230,MEM: Meropenem,,,,,Streptococcus pneumoniae
231,ETP: Ertapenem,,,,,Streptococcus pneumoniae
232,IPM: Imipenem,,,,,Streptococcus pneumoniae
233,DOR: Doripenem,,,,,Streptococcus pneumoniae
234,VAN: Vancomycin,>=17,,,,Streptococcus pneumoniae
235,ERY: Erythromycin,>=21,,>=16  <=20,<=15,Streptococcus pneumoniae
236,AZM: Azithromycin,>=18,,>=14  <=17,<=13,Streptococcus pneumoniae
237,CLR: Clarithromycin,>=21,,>=17  <=20,<=16,Streptococcus pneumoniae
238,TCY: Tetracycline,>=28,,>=25  <=27,<=24,Streptococcus pneumoniae
239,DOX: Doxycycline,>=28,,>=25  <=27,<=24,Streptococcus pneumoniae
240,GEM: Gemifloxacin,>=23,,>=20  <=22,<=19,Streptococcus pneumoniae
241,LVX: Levofloxacin,>=17,,>=14  <=16,<=13,Streptococcus pneumoniae
242,MFX: Moxifloxacin,>=18,,>=15  <=17,<=14,Streptococcus pneumoniae
243,GAT: Gatifloxacin,>=21,,>=18  <=20,<=17,Streptococcus pneumoniae
244,OFX: Ofloxacin,>=16,,>=13  <=15,<=12,Streptococcus pneumoniae
245,SPX: Sparfloxacin,>=19,,>=16  <=18,<=15,Streptococcus pneumoniae
246,SXT: Trimethoprim-sulfamethoxazole,>=19,,>=16  <=18,<=15,Streptococcus pneumoniae
247,CHL: Chloramphenicol,>=21,,,<=20,Streptococcus pneumoniae
248,RIF: Rifampin,>=19,,>=17  <=18,<=16,Streptococcus pneumoniae
249,CLDM: Clindamycin,>=19,,>=16  <=18,<=15,Streptococcus pneumoniae
250,Q/D: Quinupristin-dalfopristin,>=19,,>=16  <=18,<=15,Streptococcus pneumoniae
251,LZD: Linezolid,>=21,,,,Streptococcus pneumoniae
,PCN: Penicillin,>=29,,,<=28,Staphylococcus spp
